,Brand,Product,Type,Avg Rating,Number of Reviews,Percentage Would Buy Again
0,MAC Cosmetics,Studio Fix Powder Plus Foundation,Powder,3.7,3938,0.66
1,bareMinerals,Bare Minerals ALL,Powder,2.9,3074,0.44
2,bareMinerals,"Bare Minerals in 1.2, fairly light",Powder,3.5,1152,0.59
3,L'Oreal Paris,Bare Naturale Powdered Mineral Foundation,Powder,3.5,1092,0.62
4,Physicians Formula,Mineral Wear Talc-Free Mineral Loose Powder,Powder,3.6,800,0.65
5,bareMinerals,Matte Foundation spf 15,Powder,3.4,762,0.59
6,Jane Iredale,Pure Pressed Base,Powder,4.0,664,0.72
7,Maybelline New York,Mineral Power Powder Foundation,Powder,3.2,639,0.55
8,Laura Mercier,Mineral Powder SPF 15,Powder,4.0,592,0.71
9,Everyday Minerals,Semi-Matte Foundation,Powder,3.8,550,0.68
10,CLINIQUE,Almost Powder Makeup SPF 15,Powder,3.9,455,0.71
11,Alima Pure,Satin Matte Mineral Foundation,Powder,4.0,451,0.72
12,Lanc̫me,Dual Finish Versatile Powder Makeup,Powder,3.8,434,0.68
13,benefit Cosmetics,Hello Flawless!,Powder,3.7,422,0.63
14,bareMinerals,BareMinerals Foundation,Powder,3.4,400,0.6
15,Everyday Minerals,Matte Foundation,Powder,3.8,397,0.68
16,Palladio Beauty,Herbal Dual Wet & Dry Foundation,Powder,4.1,389,0.77
17,Stila,Illuminating Powder Foundation,Powder,3.7,375,0.63
18,bareMinerals,Bare Minerals Foundation #2,Powder,3.4,369,0.55
19,Sheer Cover,Sheer Cover - Mineral Foundation,Powder,3.0,350,0.46
20,Neutrogena,Mineral Sheers Compact Powder Foundation (All Shades),Powder,3.7,329,0.66
21,MAKE UP FOR EVER,Duo Mat Powder foundation Powder,Powder,3.8,313,0.67
22,CLINIQUE,Perfectly Real Compact Powder Foundation,Powder,3.7,306,0.62
23,bareMinerals,Foundation - Medium Beige,Powder,3.5,293,0.57
24,Laura Geller New York,Balance-n-Brighten Baked Color Correcting Foundation ,Powder,3.8,289,0.63
25,Laura Mercier,Foundation Powder,Powder,4.0,282,0.7
26,REVLON,ColorStay Mineral Foundation,Powder,3.0,277,0.48
27,Jane Iredale,Amazing Base Loose Finishing Powder,Powder,3.8,273,0.65
28,Est̩e Lauder,Double Wear Stay-in-Place Powder Makeup,Powder,3.7,252,0.64
29,bareMinerals,Bare Minerals #1,Powder,3.5,240,0.62
30,Merle Norman,Ultra Powder Foundation,Powder,4.4,240,0.82
31,CLINIQUE,Superpowder Double Face Makeup,Powder,3.8,228,0.67
32,COVERGIRL,Clean (formerly Simply) Powder Foundation,Powder,3.9,220,0.72
33,SHISEIDO,The Makeup Powdery Foundation SPF 15 ,Powder,4.1,211,0.75
34,L'Oreal Paris,True Match Naturale Mineral Foundation,Powder,3.3,206,0.54
