,Topic1,Topic2,Topic3,Topic4,Topic5
aa,0.20007266825438727,0.80071680533317,0.20001649461925927,0.20003349291096784,0.2000113514630146
aaaaa,0.9330191484193748,0.20098368258741622,0.2000007760275419,0.20230365494262337,0.201412613934224
aaaaaaaah,0.20002849314926927,0.2052951252757914,1.1897249619848527,0.20001710760119257,0.2026638396251722
aaaaaall,0.20000786289823877,0.206321929121878,0.9221826942088166,0.2022812063941948,0.20276459901291335
aaaaah,0.2000386996277626,1.3019280453584205,0.5082222152010436,0.20001952321350355,0.2045693480303197
aaaaahh,0.20002186332904487,0.20504255210099237,1.151330644682594,0.20648233167772295,0.20226511805045788
aaaand,0.20001008978997306,0.20575754715537795,0.2055775578295396,0.20000607186335825,1.3271642142526372
aaah,0.20000846509349102,0.21040410383754393,0.2030058260133344,1.1759732712407378,0.20283702040309298
aaalllll,0.20001674062424113,0.20092786305612131,0.20825544650204272,0.20001017061674112,1.1088921029368797
aaanyways,0.20071236336321052,0.20984207787325113,0.21348830922136974,1.5880858439308674,0.20247313483990537
aab,0.2010427894156502,0.21099318073285264,0.20218206357662277,0.20242228004510884,5.04146403937642
aack,0.20001506230436716,0.20911215344664832,0.20164216638238863,1.172776711736312,0.20868259271307685
aah,0.2503742201857756,0.20521027177651216,1.491098002306779,0.2030637453936788,0.21246052611886582
aahing,0.20001114821543808,0.20337781129319568,2.175328281736963,0.20000598161887828,0.20570782108498925
aamzing,0.20002125084608638,1.6508396075918712,0.20000527366197351,0.2142320257271786,0.21960876526630904
aand,0.20384835682392866,0.20218763088854586,0.20000482183852394,0.20001033430088416,0.9657548861991694
ab,0.20063689352789574,0.20146116000704575,0.200599533535778,36.60033102806664,0.2010614346389857
aback,0.20090916451350782,0.20484624481079028,0.21362976622913285,1.8814482979124414,3.0353837323253674
abandon,0.20000937860370366,0.2038994453089781,2.902409988490193,0.21306211441664152,0.20258278372924188
abandoned,0.20409189343187933,0.20655375300706438,7.544208767156929,0.20417498546682847,0.20496853697790168
abandoning,0.20002615149374564,0.20666387094412103,3.954742166436504,0.20001261567393594,0.21109125264572665
abb,0.20003331037472513,0.20692058582574724,1.1450547761259948,0.2206547967980963,0.2086475345842759
abbreviations,3.4878567868682855,0.20025543953663924,0.20406166038565643,0.20000087714411968,0.20238171621922482
abby,0.2036364502838707,0.2044661529597219,0.2054142789814356,0.20000540225479913,1.094418639447325
abd,0.21329441565440557,2.0757742614449177,0.2051159193939875,0.20189075605637039,0.20272721059093704
abdecent,0.2000392582759339,0.20430401075206497,1.6157086614353136,0.23490266881476143,0.20603454288929718
abe,0.2000159822189253,1.3025035768483202,0.2141230901873293,0.20621789310240993,0.209440014925536
abetter,0.8923778879684409,0.20354933536350958,0.2000058542087901,0.2074653612910859,0.20163028930990892
abh,0.20073155693475472,0.2020415777749931,0.20282233204824565,1.1563109004789467,0.20323614274821847
abhor,3.284799900749628,0.20223833103015323,0.2038907224363785,0.20133657540683894,0.20499381451355803
abhorrently,0.20001330184245716,0.20269693284187562,1.6550681730371415,0.2078257259375518,0.2111575664214275
abide,0.2000046802524914,0.2039654478892177,0.20000104319835116,0.7966713085881444,0.20020833281301204
abilities,0.2039697636617513,2.4473944626814066,0.21325212139219446,8.639332068716353,0.2105819981113003
ability,0.20426679604220177,0.24449424818666735,0.20659579063395417,56.03770180417229,0.20695095587057205
abit,0.20196518966283894,0.21176598355297285,0.20357427895605212,0.21155406638806942,25.906861431985416
able,0.20400183107696726,443.45531315475677,0.22733804300067476,2.6599236620641444,137.490917278952
ablsolute,0.20070725141927975,0.20219395419772548,0.20126150297533377,0.8529384973173705,0.20139164615586982
ablsolutely,0.2000239046113208,0.8559523210098623,0.2000054872013289,0.20001866799696613,0.21004602146555132
ably,0.20001062725668486,0.20265061315161137,0.2000023092106976,0.9181154048981623,0.20452113512274517
abnormal,0.20200036459185658,0.20154868867911022,0.20198354330772628,0.2030395633496397,4.009308312017704
abnormally,0.2001462365232436,0.20601569524532956,2.829600730503275,0.20017433383737734,0.21085460826273222
abominable,0.7936632645551613,0.20053994664803396,0.20126568206112475,0.20233213155195168,0.2030497880000963
abomination,0.20536803759399538,0.20046104792898156,0.9314131130552672,0.2000030723965893,0.20047460491298
abonus,0.200044807518789,1.3073896800982736,0.22319606222773739,0.20002806381170327,0.20785686685895674
abore,0.2000274938468996,0.2285806572762722,0.9563317408634945,0.20001454384865638,0.20000463380604613
aboslutely,0.20001676867880985,0.20240263204052975,0.8345637894204762,0.2000071454219607,0.2066321243795724
abosolute,0.20002469348322183,2.327663157307565,0.2028661522426196,0.20375470812910612,0.20253497423420355
abosolutely,0.2050353769289622,0.20393817441331774,2.022092241781488,0.2009547990943361,0.20284102862708403
abosutely,0.2000273157281475,0.8172236112890355,0.26820172534480624,0.20001313926056713,0.20372394694014842
